D014016820,63_0
D014016936,1520_118
D014016936,1695_28
D014016936,1806_119
D014016936,2384_16
D014016936,960_85
D014018008,1499_105
D014018008,1639_151
D014018008,1993_16
D014018008,2064_118
D014018008,2127_115
D014018008,216_120
D014018008,2260_62
D014018008,514_83
D014018008,73_142
D014018541,2035_10
D014018541,342_91
D014018541,398_100
D014018541,437_75
D014021268,10_100
D014021268,1127_146
D014021268,1342_23
D014021268,1891_183
D014021268,248_35
D014021268,714_173
D014021268,756_93
D014021305,1276_120
D014021305,428_162
D014021305,527_36
D014021787,129_10
D014021787,1459_28
D014021787,1826_65
D014021787,1965_130
D014021787,2461_47
D014021787,377_162
D014021787,895_45
D014023538,397_4
D014023538,431_144
D014023538,674_35
D014023538,823_151
D014024740,109_20
D014024740,1441_76
D014024740,1516_85
D014024740,1740_16
D014024740,1992_20
D014024740,662_4
D014024757,1114_53
D014024757,1152_29
D014024757,1369_176
D014024757,396_139
D014024757,725_153
D014025624,173_141
D014025624,2050_43
D014025624,311_115
D014025624,339_126
D014025624,71_124
D014025624,781_30
D014025624,830_86
D014025624,848_162
D014025624,983_87
D014026416,1401_76
D014026416,1457_52
D014026416,201_36
D014026416,2031_63
D014026416,2180_147
D014026416,2463_169
D014032936,1101_124
D014032936,12_117
D014032936,1413_112
D014032936,1454_155
D014032936,1533_18
D014032936,1619_26
D014032936,365_98
D014032936,947_174
D014033872,1160_72
D014033872,1541_0
D014033872,1863_94
D014033872,1941_47
D014033872,1947_86
D014033872,2071_98
D014033872,2277_116
D014033872,889_139
D014042058,1728_80
D014042058,1921_33
D014042058,2209_100
D014042058,350_6
D014042058,414_92
D014042058,787_44
D014046315,1105_23
D014046315,126_182
D014046315,1592_24
D014046315,2436_91
D014046315,77_62
D014046315,788_137
D014049002,1128_9
D014049002,1257_102
D014049002,1404_107
D014049002,1623_114
D014049002,1930_25
D014049002,1963_73
D014049002,1991_8
D014049002,2081_131
D014049002,2202_119
D014049002,227_52
D014049002,517_174
D014049286,1030_183
D014049286,1951_161
D014049286,2289_167
D014049286,2343_63
D014049286,2409_26
D014049286,2446_119
D014049286,262_76
D014049286,514_62
D014049286,863_98
D014057793,1049_188
D014057793,1089_17
D014057793,1122_18
D014057793,2094_42
D014057793,217_36
D014057793,2271_119
D014067426,166_56
D014067426,181_26
D014067426,1824_80
D014067426,1831_118
D014067426,2093_166
D014067426,2420_16
D014067426,264_109
D014067426,277_158
D014067426,425_48
D014067426,469_15
D014067426,651_32
D014067426,77_131
D014067426,860_32
D014070433,1117_32
D014070433,1344_42
D014070433,1976_87
D014070433,2097_98
D014070433,26_91
D014070433,313_181
D014070433,332_52
D014070433,347_157
D014070433,376_70
D014070433,471_88
D014070433,502_82
D014070433,617_181
D014070433,831_35
D014074745,119_163
D014074745,1296_142
D014074745,1517_156
D014074745,1824_180
D014074745,1975_2
D014074745,970_186
D014075568,1275_11
D014075568,128_132
D014075568,1771_103
D014075568,1950_58
D014075568,2253_84
D014075568,2431_52
D014075568,2444_55
D014075568,259_79
D014075568,860_164
D014075568,90_159
D014075568,923_5
D014080470,1019_68
D014080470,1259_1
D014080470,1461_71
D014080470,1611_179
D014080470,634_182
D014097423,1092_131
D014097423,1615_22
D014097423,1942_126
D014097423,1969_113
D014097423,2288_135
D014097423,286_68
D014099045,1308_152
D014099045,1453_115
D014099045,2277_160
D014099045,2458_23
D014099045,566_134
D014099045,850_182
D014099427,1001_165
D014099427,1199_101
D014099427,1600_129
D014099427,1745_116
D014099427,1748_171
D014099427,1968_26
D014099427,2016_76
D014099427,2350_0
D014099427,362_162
D014099427,517_97
D014101847,1138_60
D014101847,2084_149
D014101847,2131_173
D014101847,2319_158
D014101847,392_155
D014101847,425_147
D014101847,463_78
D014101847,550_143
D014101847,656_137
D014101847,842_31
D014101847,842_6
D014101847,883_83
D014101847,977_114
D014102165,105_158
D014102165,1160_7
D014102165,1537_139
D014102165,1625_56
D014102165,1643_19
D014102165,246_58
D014102165,247_125
D014102165,393_117
D014102165,396_185
D014102165,637_124
D014102165,693_156
D014102165,761_36
D014102165,934_172
D014102493,1059_124
D014102493,1123_88
D014102493,1278_128
D014102493,1310_44
D014102493,1630_173
D014102493,1865_90
D014102493,2160_48
D014102493,293_44
D014102493,378_112
D014102493,769_77
D014108617,1088_43
D014108617,1116_46
D014108617,1118_44
D014108617,11_142
D014108617,1245_82
D014108617,1862_7
D014108617,1869_128
D014108617,197_20
D014108617,2391_55
D014108617,2438_72
D014108617,254_62
D014108617,559_165
D014108617,923_53
D014111518,1271_20
D014111518,1417_99
D014111518,1658_41
D014111518,241_83
D014111518,25_15
D014111518,423_170
D014111518,87_72
D014111518,957_156
D014112249,1351_88
D014112249,1382_116
D014112249,1860_113
D014112249,2115_76
D014112249,2173_182
D014112249,2370_45
D014112249,337_75
D014112249,561_41
D014112249,593_57
D014113543,1061_154
D014113543,1360_84
D014113543,151_114
D014113543,307_75
D014113543,851_181
D014127069,1000_67
D014127069,1184_31
D014127069,1355_25
D014127069,1433_42
D014127069,1487_180
D014127069,1949_49
D014127069,23_61
D014127069,306_110
D014127069,505_78
D014127069,940_135
D014127069,982_133
D014134357,1150_147
