D0504109,855_72
D050410958,1141_7
D050410958,1305_143
D050410958,1360_151
D050410958,1753_148
D050410958,1758_50
D050410958,2373_20
D050410958,688_4
D050410958,936_93
D0504119,1014_48
D0504119,1096_108
D0504119,1569_17
D0504119,1954_43
D0504119,1980_51
D0504119,2287_152
D0504119,2416_104
D0504119,322_44
D0504119,850_148
D050412266,1451_146
D050412266,1988_163
D050412266,2306_169
D050412266,2390_64
D050412266,263_2
D050412266,559_84
D050412266,676_33
D0504146,1185_44
D0504146,1263_101
D0504146,1548_135
D0504146,1745_118
D0504146,2456_110
D0504146,465_71
D0504146,514_60
D0504146,712_33
D0504146,951_47
D050416431,1212_163
D050416431,1574_94
D050416431,1761_129
D050416431,1935_95
D050416431,1942_87
D050416431,309_78
D050416431,522_68
D050416431,634_153
D050416486,1798_161
D050416486,1854_23
D050416486,1991_185
D050416486,2310_17
D050416486,2388_41
D050416486,671_88
D050416486,981_1
D0504175,1024_48
D0504175,1410_4
D0504175,1464_140
D0504175,1632_36
D0504175,1751_81
D0504175,410_175
D0504175,576_29
D0504175,698_48
D0504175,834_61
D0504183,145_119
D0504183,201_40
D0504183,2277_148
D0504183,2281_15
D0504183,2378_45
D0504183,2387_108
D0504183,821_9
D0504185,2260_127
D0504185,2392_105
D0504185,329_79
D0504185,651_70
D0504185,820_172
D0504188,0_4
D0504188,1179_126
D0504188,1519_112
D0504188,1585_9
D0504188,1701_70
D0504188,1848_90
D0504188,826_96
D0504188,986_60
D050419531,2165_178
D050419531,2255_45
D050419531,703_176
D050419531,766_148
D050419531,995_165
D0504203,1181_157
D0504203,2282_20
D0504203,732_24
D0504210,1396_139
D0504210,2023_71
D0504210,2034_69
D0504210,2472_182
D0504210,345_35
D0504210,448_125
D0504210,724_125
D0504232,1205_110
D0504232,1224_119
D0504232,16_72
D0504232,1974_60
D0504232,880_184
D050423293,1011_160
D050423293,1064_96
D050423293,1577_109
D050423293,1803_170
D050423293,1834_85
D050423293,2022_98
D050423293,276_178
D050423293,394_185
D050423293,556_147
D0504266,2169_180
D0504266,413_47
D0504266,701_67
D050426751,1793_77
D050426751,1904_89
D050426751,2074_142
D050426751,2398_70
D050426751,729_16
D050426751,791_66
D050426751,958_3
D050428007,1166_152
D050428007,1614_62
D050428007,1645_99
D050428007,1987_60
D050428007,2440_118
D0504290,1800_168
D0504290,1826_74
D0504290,182_173
D0504290,1861_34
D0504290,2190_16
D0504290,2316_139
D0504290,397_12
D050429189,1376_77
D050429189,1486_65
D050429189,2058_178
D050429189,2311_74
D050429189,2370_8
D050430000,1037_113
D050430000,1061_151
D050430000,1342_22
D050430000,1481_150
D050430000,1710_14
D050430000,2261_167
D050430000,296_168
D050430000,39_108
D050430000,581_82
D050430000,745_140
D050430628,203_19
D050430628,2206_33
D050430628,2378_50
D050430628,28_34
D0504308,1047_139
D0504308,1218_54
D0504308,132_122
D0504308,154_0
D0504308,306_75
D0504308,555_176
D0504308,636_6
D0504308,829_28
D0504314,1443_11
D0504314,1524_104
D0504314,186_178
D0504314,1922_112
D0504314,205_136
D0504314,2344_2
D0504314,481_136
D0504314,825_154
D0504317,121_113
D0504317,15_73
D0504317,2201_127
D0504317,2204_26
D0504317,409_89
D0504317,55_103
D0504317,617_15
D0504317,744_114
D0504317,83_7
D0504317,90_24
D0504341,1072_158
D0504341,1325_173
D0504341,1462_135
D0504341,15_23
D0504341,55_155
D050435074,1008_93
D050435074,1043_128
D050435074,1213_104
D050435074,1470_135
D050435074,1613_24
D050435074,1620_75
D050435074,167_64
D050435074,181_77
D050435074,2058_185
D050435074,556_23
D050435074,563_169
D050435074,990_190
D050440009,1070_71
D050440009,1108_35
D050440009,1914_175
D050440009,2211_4
D050440009,2292_107
D050440009,973_181
D0504425,1176_153
D0504425,1957_178
D0504425,2247_51
D0504425,2465_112
D0504425,468_19
D0504425,528_55
D0504425,59_147
D0504425,954_172
D0504468,1096_68
D0504468,2304_86
D0504468,2407_102
D0504468,265_155
D0504468,531_57
D0504477,1078_112
D0504477,1240_130
D0504477,1459_130
D0504477,1517_26
D0504477,1849_165
D0504477,2184_6
D0504477,402_57
D050447701,1614_100
D050447701,1803_59
D050447701,532_5
D0504485,1242_59
D0504485,1631_180
D0504485,1705_69
D0504485,1954_171
D0504485,2281_177
D0504485,350_31
D0504485,599_93
D0504485,727_76
D0504485,776_76
D050450084,1068_157
D050450084,1599_56
D050450084,236_38
D050450084,2389_31
D050450084,278_79
D050450084,466_108
D050450084,564_149
D0504513,1002_125
D0504513,127_110
D0504513,1509_146
D0504513,1511_89
D0504513,2081_96
D0504513,28_108
D0504513,2_0
D0504513,966_5
D0504513,982_181
D050451470,1026_122
D050451470,1028_158
D050451470,1189_112
D050451470,1274_58
D050451470,1408_56
D050451470,1827_13
D050451470,2372_127
D050451470,2393_166
D050451470,353_66
D050451470,591_114
D050451470,960_180
D0504521,1100_24
D0504521,1638_24
D0504521,1889_106
D0504521,387_51
D0504521,498_82
D0504521,58_6
D0504521,861_105
D0504537,1018_157
D0504537,2032_110
D0504537,2273_137
D0504537,2277_6
D0504537,324_149
D0504537,635_112
D0504537,6_22
D050454402,1193_88
D050454402,1565_73
D050454402,1976_83
D050454402,2123_49
D050454402,2299_46
D050454402,519_173
D050454402,530_72
D050454402,734_14
D050454402,815_85
D050454402,819_95
D050454402,854_147
D050454402,902_12
D0504568,2121_179
D0504568,53_130
D0504568,726_176
D0504568,7_15
D0504568,813_54
D0504611,1383_62
D0504611,1474_17
D0504611,1545_150
D0504611,465_8
D0504611,767_162
D0504611,769_74
D0504611,870_151
D0504629,1245_30
D0504629,2005_65
D0504629,243_143
D0504629,616_156
D0504629,865_44
D0504637,1432_89
D0504637,1542_88
D0504637,1580_117
D0504637,1872_154
D0504637,2169_122
D0504637,336_95
D0504637,403_175
D0504637,69_55
D0504637,791_187
D0504639,1501_132
D0504639,1626_6
D0504639,1884_79
D0504639,2265_97
D0504639,697_130
D050464722,1262_48
D050464722,2338_110
D050464722,2395_6
D050464722,243_45
D050464722,406_189
D0504664,1323_134
D0504664,1521_33
D0504664,1564_37
D0504664,1792_5
D0504664,2255_135
D0504664,2453_133
D0504664,330_39
D0504664,58_42
D0504664,948_43
D0504674,1696_51
D0504674,2175_163
D0504674,223_27
D0504674,2347_135
D0504674,2391_120
D0504674,440_4
D0504674,525_136
D0504674,620_34
D050467549,1349_36
D050467549,2169_8
D050467549,2401_54
D050467549,699_4
D050467549,927_151
D050467648,1146_169
D050467648,1285_74
D050467648,1471_25
D050467648,1530_89
D050467648,1599_134
D050467648,1599_71
