D0971329,989_115
D0971341,1090_29
D0971341,1172_116
D0971341,188_44
D0971341,2388_20
D0971341,605_112
D0971341,622_59
D0971341,651_136
D0971347,1329_59
D0971347,1410_128
D0971347,2400_183
D0971347,3_98
D0971347,465_155
D0971349,1012_41
D0971349,1033_101
D0971349,1292_94
D0971349,1944_111
D0971349,2085_58
D0971351,1348_6
D0971351,2402_173
D0971351,318_144
D0971351,32_16
D0971351,393_148
D0971351,623_24
D0971351,72_109
D097138006,1045_148
D097138006,1119_102
D097138006,1192_146
D097138006,2225_21
D097138006,39_174
D097138006,455_168
D0971403,1072_17
D0971403,172_176
D0971403,2017_15
D0971403,2247_153
D0971403,232_66
D0971403,301_70
D0971403,734_145
D097140573,1471_85
D097140573,1853_26
D097140573,2299_130
D097140573,398_25
D097140573,594_1
D097140573,789_89
D097141105,131_109
D097141105,1468_76
D097141105,1488_76
D097141105,1499_130
D097141105,1603_65
D097141105,1799_169
D097141105,1855_119
D097141105,1878_70
D097141105,21_147
D097141105,2346_174
D097141105,343_124
D097141105,626_110
D0971431,1321_121
D0971431,1636_132
D0971431,2053_52
D0971431,2156_139
D0971431,502_121
D0971431,517_18
D0971431,762_119
D0971431,83_161
D0971431,865_11
D0971474,1411_24
D0971474,1418_135
D0971474,1640_20
D0971474,2071_90
D0971474,2115_147
D0971474,512_143
D0971474,692_183
D0971523,1234_92
D0971523,1262_79
D0971523,135_142
D0971523,1532_83
D0971523,2061_27
D0971523,2117_11
D0971523,299_127
D0971523,858_98
D0971523,89_186
D097153795,1128_63
D097153795,1608_150
D097153795,1826_165
D097153795,2120_147
D097153795,229_170
D097153795,2330_125
D097153795,872_150
D097154631,2108_40
D097154631,2470_110
D097154631,478_132
D097156284,1479_98
D097156284,1548_60
D097156284,2012_110
D097156284,2068_155
D097156284,2201_109
D097156284,2231_28
D097156284,500_85
D097156284,819_171
D097156284,884_15
D0971564,1497_52
D0971564,1606_4
D0971564,1826_184
D0971564,1830_108
D0971564,2147_72
D0971564,590_116
D0971564,827_32
D0971567,1379_175
D0971567,1552_63
D0971567,1593_84
D0971567,183_58
D0971567,2319_133
D0971567,2430_111
D0971567,834_127
D0971568,1247_108
D0971568,2001_141
D0971568,2445_166
D0971568,783_181
D0971568,829_122
D097157991,1057_58
D097157991,1121_69
D097157991,1157_126
D097157991,1257_172
D097157991,1612_123
D097157991,193_30
D097157991,2022_169
D097157991,442_84
D097157991,505_31
D097157991,559_148
D097157991,661_97
D097157991,826_94
D0971591,1231_149
D0971591,2157_115
D0971591,312_141
D0971591,358_83
D0971591,368_112
D0971591,826_73
D0971591,963_125
D0971625,1226_54
D0971625,1235_142
D0971625,2183_3
D0971625,2461_160
D0971625,2_124
D0971625,307_17
D0971625,46_85
D0971625,862_10
D0971638,119_60
D0971638,1257_82
D0971638,254_77
D0971638,616_34
D0971638,769_95
D097164135,1076_177
D097164135,1553_97
D097164135,1633_106
D097164135,1803_50
D097164135,1903_37
D097164135,2277_84
D097164135,2358_107
D097164135,951_168
D097165323,1090_71
D097165323,1337_121
D097165323,134_125
D097165323,1508_33
D097165323,1591_162
D097165323,1859_146
D097165323,2122_176
D097165323,2159_67
D097165323,223_81
D097165323,2250_128
D097165323,2409_85
D097165323,872_58
D0971663,1181_180
D0971663,1328_32
D0971663,1946_138
D0971663,2277_33
D0971663,593_44
D0971677,1669_90
D0971677,1764_67
D0971677,2195_111
D0971677,2440_14
D0971677,883_59
D0971688,1104_109
D0971688,1190_27
D0971688,1234_69
D0971688,1436_32
D0971688,1489_18
D0971688,201_121
D0971688,2254_86
D0971688,2289_23
D0971688,2476_105
