D079134774,804_60
D0791356,1296_164
D0791356,1674_163
D0791356,1873_72
D0791356,1880_18
D0791356,1944_48
D0791356,2471_34
D0791356,527_13
D0791356,52_126
D0791356,687_9
D0791357,1186_108
D0791357,1193_89
D0791357,1417_90
D0791357,16_41
D0791357,1827_47
D0791357,2127_39
D0791357,2140_183
D0791357,2354_106
D0791357,369_62
D0791357,448_3
D0791361,1434_168
D0791361,1720_160
D0791361,1917_102
D0791361,2133_68
D0791361,2385_186
D0791361,2445_152
D0791361,903_108
D079137591,1231_91
D079137591,2050_106
D079137591,2207_53
D079137591,2385_45
D079137591,385_33
D079137591,636_159
D079138369,1087_118
D079138369,2220_160
D079138369,537_34
D079138369,5_84
D079138369,615_45
D079138369,915_180
D0791395,1736_115
D0791395,1949_32
D0791395,568_136
D079139649,1086_6
D079139649,1131_35
D079139649,1412_143
D079139649,1537_53
D079139649,2005_13
D079139649,2035_146
D079139649,2376_170
D079139649,690_156
D079140706,1217_55
D079140706,1447_167
D079140706,229_145
D0791430,115_108
D0791430,20_171
D0791430,2122_70
D0791430,2384_68
D0791430,298_126
D0791430,389_146
D0791430,505_179
D0791430,543_33
D0791430,86_7
D0791442,1518_51
D0791442,152_89
D0791442,1927_67
D0791442,2194_93
D0791442,2339_97
D0791442,2428_105
D0791442,338_184
D0791442,355_27
D0791442,548_24
D079144995,1341_22
D079144995,402_113
D079144995,678_151
D0791466,1040_166
D0791466,1823_3
D0791466,2022_53
D0791466,2142_108
D0791466,2332_115
D0791466,2411_87
D0791466,260_51
D0791466,980_105
D0791478,1138_50
D0791478,1487_52
D0791478,1839_47
D0791478,2078_77
D0791478,309_83
D0791500,1036_123
D0791500,1263_107
D0791500,1458_74
D0791500,157_87
D0791500,2090_180
D0791500,2155_174
D0791500,2167_90
D0791500,2283_32
D0791500,2440_166
D0791500,2451_128
D0791500,955_185
D0791502,1468_49
D0791502,182_184
D0791502,1869_173
D0791502,1949_83
D0791502,2040_124
D0791502,2216_92
D0791502,532_178
D0791502,745_102
D0791502,760_104
D0791502,771_166
D0791521,1186_33
D0791521,1202_28
D0791521,1420_33
D0791521,2208_7
D0791521,50_10
D0791521,710_7
D0791521,971_42
