D062674171,964_174
D062677110,1110_184
D062677110,1501_170
D062677110,1791_170
D062677110,1946_50
D062677110,2472_8
D062677110,291_136
D062677110,376_104
D062677110,550_90
D062677110,716_1
D062677776,1304_34
D062677776,1447_136
D062677776,2327_41
D062677776,2385_132
D062677776,434_147
D062677776,646_91
D0626789,1050_9
D0626789,196_186
D0626789,2070_123
D0626789,43_16
D0626789,751_99
D0626792,1036_153
D0626792,1058_31
D0626792,1408_91
D0626792,1541_151
D0626792,280_96
D0626792,487_111
D0626792,54_168
D062680561,1146_21
D062680561,1146_39
D062680561,1386_16
D062680561,1710_78
D062680561,2461_118
D062680561,279_116
D062680561,581_90
D062680561,626_107
D0626817,1023_125
D0626817,1125_60
D0626817,1657_139
D0626817,2309_182
D0626817,2336_77
D0626817,2443_120
D0626817,2456_24
D0626817,29_46
D0626817,973_88
D0626838,1512_122
D0626838,1661_144
D0626838,1788_41
D0626838,1810_156
D0626838,1827_81
D0626838,381_145
D0626838,7_44
D0626841,119_150
D0626841,2121_132
D0626841,225_138
D0626841,2416_97
D0626841,525_27
D0626841,670_93
D0626841,980_118
D0626865,1054_50
D0626865,1584_106
D0626865,176_147
D0626865,281_106
D0626865,535_134
D0626865,562_146
D0626865,632_134
D062686624,1014_53
D062686624,1021_143
D062686624,1072_135
D062686624,10_151
D062686624,1713_111
D062686624,1986_7
D062686624,2377_7
D062687362,1223_160
D062687362,1679_89
D062687362,1934_77
D062687362,2050_160
D062687362,2142_188
D062687362,2337_23
D0626875,1042_100
D0626875,1483_90
D0626875,1836_0
D0626875,2038_5
D0626875,961_61
D062688154,11_139
D062688154,1984_63
D062688154,2170_179
D062688154,471_12
D062688154,619_122
D062688154,633_78
D0626911,1288_157
D0626911,1960_139
D0626911,1995_34
D0626911,201_164
D0626911,2163_123
D0626916,1289_131
D0626916,1353_62
D0626916,1543_22
D0626916,1583_56
D0626916,1585_11
D0626916,419_81
D0626916,435_128
D062693363,128_65
D062693363,1317_119
D062693363,2033_50
D062693363,265_52
D062693363,739_122
D062693820,1385_104
D062693820,1673_31
D062693820,1702_169
D062693820,1727_182
D062693820,2105_61
D062693820,2389_111
D062693820,342_153
D062693820,447_146
D062693974,1689_121
D062693974,1699_70
D062693974,1719_89
D062693974,1986_94
D062693974,2254_82
D062693974,2311_119
D062693974,2418_20
D062693974,261_166
D062693974,852_171
D0626944,1887_12
D0626944,2119_183
D0626944,2234_65
D0626944,2441_94
D0626944,493_120
D0626944,640_37
D0626944,993_78
D0626952,1120_114
D0626952,1188_107
D0626952,128_119
D0626952,1440_132
D0626952,518_95
D0626952,629_133
D0626955,1004_67
D0626955,1022_170
D0626955,1402_169
D0626955,2213_120
D0626955,2246_148
D0626955,2400_78
D0626955,37_109
D0626955,473_62
D0626955,493_148
D0626955,913_172
D062696319,1434_16
D062696319,1502_154
D062696319,1821_183
D062696319,2352_28
D062696319,623_27
D062696319,963_27
D0626978,1179_104
D0626978,1200_43
D0626978,1710_51
D0626978,1924_127
D0626978,2039_133
D0626978,2180_178
D0626978,226_90
D0626978,2301_170
D0626978,369_28
D0626980,1413_80
D0626980,1819_31
D0626980,1821_169
D0626980,2041_29
D0626980,204_95
D0626982,1337_47
D0626982,1359_6
D0626982,1816_34
D0626982,1839_151
D0626982,1917_160
D0626982,192_168
D0626982,2170_165
D0626982,2379_39
D0626982,666_46
D0626993,1044_86
D0626993,1205_128
D0626993,1291_2
D0626993,1359_11
D0626993,181_67
D0626993,544_106
D0626993,657_25
D0626993,950_143
D062699433,1160_11
D062699433,14_4
D062699433,1677_72
D062699433,2464_29
D062699433,507_1
D062699433,670_113
D062699433,725_181
D062699433,802_17
D062699433,927_181
D0627003,1063_95
D0627003,2003_8
D0627003,2023_99
D0627003,2045_83
D0627003,2153_38
D0627003,2174_66
D0627003,2270_53
D0627003,431_115
D0627003,793_28
D0627009,1283_120
D0627009,1315_40
D0627009,1397_180
D0627009,265_35
D0627009,431_49
D0627009,729_34
D0627009,920_90
D0627017,1152_167
D0627017,1890_41
D0627017,2193_9
D0627017,230_28
D0627017,2451_72
D0627017,247_145
D0627017,256_148
D0627020,1129_4
D0627020,1280_78
D0627020,1623_27
D0627020,1671_85
D0627020,1750_9
D0627020,188_82
D0627020,2139_14
D0627020,30_23
D0627020,380_173
D0627022,2142_28
D0627022,438_162
D0627022,674_106
D0627022,911_10
D0627022,985_102
D062706230,1386_74
D062706230,2408_180
D062706230,273_142
D0627073,1282_0
D0627073,2208_170
D0627073,512_9
D0627073,518_145
D0627073,796_185
D0627073,808_92
D0627073,833_134
D062709361,104_107
D062709361,1124_170
D062709361,1570_92
D062709361,1782_148
D062709361,2110_115
D062709361,212_170
D062709361,2160_55
D062709361,2443_182
D062709361,442_120
D062709361,444_14
D062709361,637_157
D0627095,2213_33
D0627095,2311_81
D0627095,2361_154
D0627095,36_183
D0627095,546_111
D0627095,624_98
D0627095,74_162
D0627095,970_50
D0627115,1169_182
D0627115,1301_37
D0627115,1461_185
D0627115,1650_186
D0627115,168_91
D0627115,906_115
D0627115,929_88
D0627116,1020_100
D0627116,1529_94
D0627116,2030_92
D0627116,2163_137
D0627116,2230_166
D0627116,2286_104
D0627116,904_13
D062712279,1158_78
D062712279,1159_116
D062712279,1643_107
D062712279,2047_96
D062712279,2112_71
D062712279,58_92
D062712279,661_89
D062712279,749_87
D062713689,1531_98
D062713689,1624_136
D062713689,31_176
D062713689,327_46
D062713689,640_153
D062713689,642_51
D062713689,983_5
D0627148,150_120
D0627148,1805_106
D0627148,1809_167
D0627148,2163_7
D0627148,2400_143
D0627167,1349_142
D0627167,1541_124
D0627167,204_28
D0627167,2202_46
D0627167,440_106
D0627167,527_185
D0627167,586_171
D0627167,616_175
D0627167,924_90
D0627171,1269_100
D0627171,1388_71
D0627171,2010_123
D0627171,264_135
D0627171,610_179
D0627193,1164_29
D0627193,1650_119
D0627193,1784_43
D0627193,1969_50
D0627193,771_155
D0627207,1460_47
D0627207,475_9
D0627207,585_10
D0627275,1038_188
D0627275,121_130
D0627275,1604_5
D0627275,2477_13
D0627275,258_155
D0627275,310_162
D0627275,371_136
D0627277,1203_48
D0627277,1245_179
D0627277,1245_56
D0627277,1304_62
D0627277,161_61
D0627277,179_32
D0627277,1811_134
D0627277,1865_111
D0627277,2191_163
D0627277,282_137
D0627277,328_113
D0627277,377_122
D0627277,908_33
D062730648,1235_67
D062730648,1420_168
D062730648,1492_21
D062730648,1513_107
D062730648,1651_184
D062730648,1822_34
D062730648,1832_75
D062730648,1850_82
D062730648,2150_40
D062730648,2457_67
D062730648,542_1
D062730648,553_182
