D0922916,880_48
D092292444,1414_166
D092292444,1480_161
D092292444,407_45
D092292444,54_49
D092292444,659_169
D092292444,810_43
D092292840,1169_107
D092292840,1401_75
D092292840,1524_73
D092292840,1655_53
D092292840,2455_112
D092292840,28_147
D092292840,660_186
D092292840,999_14
D0922930,124_160
D0922930,2066_179
D0922930,2320_174
D0922930,2390_182
D0922930,4_36
D0922930,803_27
D0922930,903_72
D092294257,1720_135
D092294257,1996_25
D092294257,2272_89
D092294257,2296_145
D092294257,604_0
D0922943,1084_69
D0922943,1149_125
D0922943,1549_175
D0922943,2442_63
D0922943,484_32
D0922943,665_108
D0922943,939_52
D092295322,1004_109
D092295322,1123_119
D092295322,1152_173
D092295322,1305_152
D092295322,1527_152
D092295322,1557_19
D092295322,2209_49
D092295322,2213_32
D092295322,2374_164
D092295322,2434_28
D092295322,2477_116
D092295322,747_109
D0922962,1056_78
D0922962,1623_142
D0922962,2071_57
D0922962,2101_81
D0922962,2440_92
D0922962,559_134
D092297845,1311_74
D092297845,1641_78
D092297845,189_157
D092297845,2217_101
D092297845,575_56
D092297845,668_106
D092297845,904_158
D0922981,1116_28
D0922981,1982_159
D0922981,2010_172
D0922981,215_58
D0922981,2165_162
D0922981,2469_16
D0922981,610_57
D0922981,630_37
D0922981,998_148
D092299214,1234_141
D092299214,1792_34
D092299214,2321_28
D092299214,2457_180
D092299214,289_53
D092299214,72_150
D0923006,1170_62
D0923006,1363_179
D0923006,157_39
D0923006,1762_1
D0923006,2096_127
D0923006,297_49
D0923006,782_105
D0923026,1142_20
D0923026,1488_98
D0923026,1497_91
D0923026,1837_155
D0923026,201_115
D092306592,1333_47
D092306592,1428_152
D092306592,1435_170
D092306592,1524_51
D092306592,1561_13
D092306592,1699_133
D092306592,1944_78
D0923076,1170_10
D0923076,1572_110
D0923076,1851_103
D0923076,1911_78
D0923076,2191_134
D0923076,2458_36
D0923076,426_65
D0923076,922_94
D0923086,1037_63
D0923086,1098_57
D0923086,111_83
D0923086,1168_28
D0923086,141_49
D0923086,1884_46
D0923086,202_29
D0923086,2425_36
D0923086,771_30
D0923086,933_181
D0923103,1033_5
D0923103,1442_28
D0923103,1488_3
D0923103,1608_4
D0923103,2301_20
D0923103,2453_167
D0923103,291_80
D0923103,313_162
D092310889,1175_165
D092310889,1792_52
D092310889,1836_28
D092310889,2298_151
D092310889,486_44
D092310889,693_120
D0923122,1345_13
D0923122,1435_117
D0923122,1754_177
D0923122,2070_9
D0923122,767_3
D092312203,1021_73
D092312203,1063_1
D092312203,144_36
D092312203,1471_171
D092312203,1682_39
D092312203,2011_160
D092312203,244_75
D092312203,269_74
D092312203,576_183
D092312203,771_135
D092312203,855_187
D092312333,1688_157
D092312333,1718_177
D092312333,2139_113
D092312333,2411_98
D092312333,732_101
D092312852,1238_23
D092312852,1314_2
D092312852,1531_140
D092312852,1536_77
D092312852,2092_67
D092312852,2174_18
D092312852,2273_60
D092312852,2298_26
D092312852,310_37
D092312852,578_177
D092312852,694_160
D0923139,1281_152
D0923139,2352_62
D0923139,294_107
D0923139,313_50
D0923139,338_21
D092314092,1094_143
D092314092,1167_31
D092314092,1168_39
D092314092,1219_181
D092314092,1816_38
D092314092,1966_129
D092314092,2101_155
D092314092,2354_184
D092314092,2451_120
D092314092,522_46
D092314092,853_82
D0923154,1083_181
D0923154,1975_142
D0923154,2188_27
D0923154,338_49
D0923154,448_156
D092315556,1431_179
D092315556,1903_83
D092315556,2346_53
D092315556,2466_130
D092315570,1008_136
D092315570,1183_176
D092315570,1272_51
D092315570,1551_44
D092315570,161_5
D092315570,1894_182
D092315570,297_19
D092315570,493_85
D092315570,802_67
D092315570,895_173
D0923166,1293_168
D0923166,1371_121
D0923166,1644_41
D0923166,1953_99
D0923166,2155_120
D0923166,2377_51
D0923166,557_34
D0923166,580_189
D0923166,915_81
D092317192,1546_53
D092317192,385_105
D092317192,520_105
D092317192,620_80
D092317192,931_95
D0923228,1189_173
D0923228,1442_161
D0923228,1473_110
D0923228,1713_105
D0923228,1814_68
D0923228,216_112
D0923228,220_39
D0923228,468_132
D0923228,699_104
D0923228,769_36
D0923228,921_44
D092323148,1001_21
D092323148,1142_78
D092323148,2260_30
D092323148,91_125
D092323780,1207_142
D092323780,1343_162
D092323780,1631_175
D092323780,1775_52
D092323780,2180_84
D092323780,2199_48
D092323780,2382_26
D092323780,256_107
D092323780,506_20
D092323780,540_60
D092323780,601_84
D092323780,912_153
D092324794,1636_0
D092324794,2053_145
D092324794,350_63
D092324794,483_78
D092324794,632_53
D092324794,688_42
D092324794,763_11
D092324794,908_26
D0923271,1040_138
D0923271,1182_79
D0923271,299_143
D0923271,437_87
D0923271,54_7
D0923271,667_131
D0923271,963_146
D0923277,1427_129
D0923277,1464_83
D0923277,155_157
D0923277,2448_129
D0923277,560_99
D0923277,798_116
D0923277,868_167
D0923279,1340_184
D0923279,1381_159
D0923279,1608_84
D0923279,2413_57
D0923279,980_78
D0923288,1087_93
D0923288,1273_111
D0923288,1294_8
D0923288,1551_189
D0923288,2346_164
D0923288,2386_164
D0923288,754_27
D0923288,858_17
D0923288,882_40
D0923295,1066_179
D0923295,109_180
D0923295,1155_77
D0923295,1557_161
D0923295,2027_185
D0923295,2178_76
D0923295,2189_63
D0923295,2283_41
D0923295,855_125
D092329508,1408_146
D092329508,145_30
D092329508,1515_112
D092329508,1907_129
D092329508,2138_77
D092329508,2191_57
D092329508,2192_126
D092329508,2345_43
D092329508,321_28
D092329508,488_186
D0923313,1202_142
D0923313,135_173
D0923313,1842_177
D0923313,1940_173
D0923313,2115_174
