D049337167,972_159
D049339628,1349_74
D049339628,1395_180
D049339628,157_164
D049339628,195_77
D049339628,2381_117
D049339628,308_135
D049342154,1238_88
D049342154,183_115
D049342154,1936_3
D049342154,2302_178
D049342154,329_101
D049342154,826_87
D049342383,1672_176
D049342383,1748_95
D049342383,1749_160
D049342383,1978_159
D049342383,2057_116
D049342383,2456_28
D049342383,386_61
D049342383,472_138
D049342383,756_140
D049343953,1557_47
D049343953,1825_172
D049343953,40_20
D049344325,1453_117
D049344325,1556_151
D049344325,174_157
D049344325,701_36
D049344325,956_176
D049346640,1306_64
D049346640,1356_129
D049346640,1588_132
D049346640,2277_103
D049346640,2425_150
D049346640,692_46
D049346640,694_21
D049348248,1573_175
D049348248,1972_128
D049348248,2206_57
D049348248,494_28
D049348248,613_76
D049351781,1284_101
D049351781,588_68
D049351781,998_154
D049351903,1214_6
D049351903,1297_182
D049351903,779_43
D049351903,865_119
D049351903,986_111
D049351903,993_29
D049355857,1016_164
D049355857,1397_113
D049355857,407_29
D049355857,635_73
D049358551,1568_149
D049358551,173_160
D049358551,1864_137
D049358551,1961_122
D049358551,2365_5
D049358551,986_53
D049358636,1706_79
D049358636,1759_112
D049358636,1890_167
D049358636,2114_171
D049358636,2267_140
D049358636,2314_81
D049358636,77_136
D049358636,902_27
D049360417,155_52
D049360417,1647_82
D049360417,174_21
D049360417,1955_99
D049360417,2130_156
D049360417,2167_137
D049360417,2424_118
D049360417,2458_46
D049360417,586_91
D049360417,643_146
D049360417,761_113
D049360417,89_157
D049360417,935_145
D049363203,2230_100
D049363203,259_13
D049363203,28_91
D049363203,487_174
D049363203,501_43
D049363203,732_88
D049363203,891_135
D049363203,900_65
D049363203,926_70
D049364262,111_50
D049364262,1120_122
D049364262,1152_11
D049364262,1789_127
D049364262,1843_170
D049364262,1847_64
D049364262,1978_14
D049364262,2449_4
D049364262,289_78
D049364262,466_139
D049364262,676_153
D049364262,777_159
D049366761,1663_145
D049366761,1799_148
D049366761,1952_32
D049366761,2086_135
D049366761,2271_29
D049366761,2373_164
D049366761,689_164
D049370317,1124_82
