D060873002,1991_126
D060873002,347_113
D060873002,349_17
D060873002,397_174
D060873002,687_15
D060873002,856_158
D0608754,107_35
D0608754,1598_182
D0608754,1684_23
D0608754,1726_4
D0608754,314_36
D0608754,317_57
D0608754,349_64
D0608754,696_49
D0608754,977_84
D060875846,1079_115
D060875846,1237_49
D060875846,126_69
D060875846,128_79
D060875846,1713_33
D060875846,1847_36
D060875846,923_131
D060876423,1035_86
D060876423,1535_127
D060876423,1554_170
D060876423,1947_178
D060876423,2046_60
D060876423,2368_165
D060876423,2404_105
D060876423,308_175
D060876423,707_144
D0608769,1114_92
D0608769,1425_152
D0608769,1467_179
D0608769,2454_110
D0608769,858_96
D060876966,15_116
D060876966,169_22
D060876966,2321_123
D060876966,604_118
D0608778,1006_177
D0608778,1006_37
D0608778,1968_152
D0608778,2298_168
D0608778,455_178
D0608778,635_161
D0608778,731_90
D0608778,793_51
D0608784,118_122
D0608784,142_186
D0608784,1815_111
D0608784,2294_111
D0608784,240_170
D0608784,2412_159
D0608784,271_60
D0608784,380_0
D0608784,888_81
D0608817,1354_108
D0608817,1626_50
D0608817,1636_111
D0608817,266_106
D0608817,725_103
D0608821,1004_183
D0608821,1248_83
D0608821,2429_165
D0608821,318_139
D0608821,832_49
D060882530,1021_168
D060882530,1497_105
D060882530,1937_20
D060882530,665_178
D060882530,795_80
D060882530,939_125
D060882561,1183_10
D060882561,1314_134
D060882561,1522_0
D060882561,1893_66
D060882561,2210_56
D060882561,2216_137
D0608855,1645_127
D0608855,1654_52
D0608855,1968_57
D0608855,2188_77
D0608855,315_141
D060886378,1037_41
D060886378,1802_177
D060886378,183_71
D060886378,2316_11
D060886378,583_73
D060886378,867_144
D060886378,903_95
D060887634,1081_120
D060887634,1312_61
D060887634,136_178
D060887634,1480_13
D060887634,1721_161
D060887634,1884_187
D060887634,623_79
D060888051,1870_153
D060888051,1929_25
D060888051,1985_35
D060888051,2200_45
D060888051,551_164
D060888051,699_88
D060888068,1178_123
D060888068,2376_133
D060888068,2440_68
D060888068,671_129
D060888068,749_59
D0608883,1697_111
D0608883,187_24
D0608883,1970_99
D0608883,2125_23
D0608883,2311_73
D0608883,309_31
D0608883,567_187
D0608883,886_37
D0608894,1309_16
D0608894,167_177
D0608894,1805_6
D0608894,1827_102
D0608894,2067_10
D0608894,2071_16
D0608894,243_12
D0608894,343_0
D0608894,724_109
D0608894,804_135
D0608901,1008_86
D0608901,1732_94
D0608901,213_12
D0608901,242_6
D0608901,390_85
D0608901,75_86
D0608901,836_86
D0608920,1381_13
D0608920,1565_104
D0608920,2125_162
D0608920,2444_88
D0608920,336_10
D0608920,532_34
D0608920,913_86
D0608931,176_11
D0608931,1798_117
D0608931,1940_85
D0608931,2105_137
D0608931,2219_53
D0608931,555_172
D0608931,600_167
D0608931,759_176
D0608942,1046_187
D0608942,1463_165
D0608942,1642_125
D0608942,1796_21
D0608942,2041_114
D0608942,2304_132
D0608942,2423_57
D0608942,896_69
D0608944,100_96
D0608944,1262_55
D0608944,1291_54
D0608944,1637_32
D0608944,225_184
D060894458,1514_36
D060894458,1588_163
D060894458,1914_55
D060894458,210_15
D060894458,2149_6
D060894458,2228_49
D060894458,2319_167
D060894458,2383_1
D060894458,335_156
D060894458,463_170
D060894458,766_14
D060894458,818_19
D060894458,982_23
D0608953,1149_86
D0608953,1186_113
D0608953,1338_174
D0608953,1589_11
D0608953,1604_26
D0608953,2160_17
D0608953,259_74
D0608953,324_162
D0608953,855_129
D0608975,1865_19
D0608975,1870_166
D0608975,738_173
D060900203,1513_92
D060900203,1931_99
D060900203,1994_144
D060900203,6_107
D060900203,716_147
D060900203,886_60
D060900203,931_7
D060900203,964_119
D0609014,1352_129
D0609014,1511_151
D0609014,2344_172
D0609014,2421_53
D0609014,315_149
D0609014,473_89
D0609014,793_11
D0609014,804_18
D060901996,1150_2
D060901996,1219_148
D060901996,1708_161
D060901996,2227_154
D060901996,2320_58
D060901996,465_29
D060901996,524_88
D060901996,811_64
D060901996,947_137
D060902054,1188_99
D060902054,1444_148
D060902054,2242_113
D060902054,417_98
D060902054,835_48
D060902351,1332_113
D060902351,1649_154
D060902351,1898_144
D060902351,1979_74
D060902351,49_69
D060902351,685_113
D060903815,1014_93
D060903815,1199_61
D060903815,1283_119
D060903815,1397_174
D060903815,2448_98
D060903815,27_3
D060903815,702_1
D0609048,1056_170
D0609048,1414_148
D0609048,1513_173
D0609048,1704_177
D0609048,2065_106
D0609048,2259_135
D0609048,618_51
D0609054,1017_74
D0609054,1019_137
D0609054,1059_153
D0609054,1219_153
D0609054,177_127
D0609054,1817_87
