D0610805,938_56
D0610807,1190_94
D0610807,1411_120
D0610807,184_2
D0610807,1914_183
D0610807,2476_65
D0610807,406_73
D0610807,551_178
D0610807,611_46
D0610807,622_86
D0610807,853_168
D0610807,907_31
D0610822,1079_120
D0610822,1623_50
D0610822,1788_167
D0610822,384_131
D0610822,600_3
D061083196,1202_156
D061083196,1373_68
D061083196,194_59
D061083196,2008_14
D061083196,2027_148
D061083196,2085_145
D061083196,2121_89
D061083196,2325_165
D061083196,2345_42
D0610847,1063_45
D0610847,1201_132
D0610847,1359_169
D0610847,1714_116
D0610847,1718_65
D0610847,1952_166
D0610847,2214_131
D0610847,596_151
D0610847,887_48
D0610867,1320_158
D0610867,1530_8
D0610867,2211_76
D0610867,2284_61
D0610867,394_186
D0610867,426_47
D0610867,87_162
D0610867,995_113
D0610875,1755_164
D0610875,1877_179
D0610875,190_120
D0610875,2396_175
D0610875,2446_120
D0610875,26_176
D0610875,305_27
D0610875,747_25
D0610875,85_101
D0610877,102_43
D0610877,1101_16
D0610877,2364_12
D0610877,305_163
D0610877,573_59
D0610886,1027_169
D0610886,1354_53
D0610886,1396_181
D0610886,1846_26
D0610886,1927_96
D0610886,1963_69
D0610886,2021_66
D061089068,1115_94
D061089068,1486_175
D061089068,1502_86
D061089068,1692_38
D061089068,1934_135
D061089068,2046_131
D061089068,2170_126
D061089068,269_153
D061089068,739_85
D061090842,1116_186
D061090842,1212_47
D061090842,1703_67
D061090842,1879_123
D061090842,2386_4
D061090842,439_148
D061090842,661_147
D061090842,878_151
D061094703,1404_81
D061094703,714_172
D061094703,802_14
D0610948,118_37
D0610948,1315_103
D0610948,1429_129
D0610948,1464_21
D0610948,1652_93
D0610948,206_21
D0610948,2321_70
D0610948,2349_4
D061094864,1752_58
D061094864,2198_9
D061094864,2325_15
D061094864,2367_139
D061094864,438_10
D061094864,97_138
D061096387,1104_166
D061096387,2035_54
D061096387,2127_36
D061096387,2203_101
D061096387,2418_56
D061096387,744_8
D061096387,875_135
D0610965,1570_80
D0610965,1954_82
D0610965,1987_69
D0610965,2403_100
D0610965,99_110
D061097230,1112_97
D061097230,1659_118
D061097230,1694_17
D061097230,1992_33
D061097230,2029_159
D061097230,2034_134
D061097230,2224_13
D061097230,2446_126
D061097230,455_25
D061097230,653_125
D061097230,701_112
D0611035,1018_107
D0611035,1351_28
D0611035,1391_81
D0611035,1475_48
D0611035,1541_152
D0611035,167_67
D0611035,1790_157
D0611035,183_24
D0611035,2403_54
D0611035,2468_166
D0611035,427_41
D0611035,432_159
D0611035,666_84
D061104075,1816_5
D061104075,2013_158
D061104075,2069_13
D061104075,2313_96
D061104075,2430_179
D0611065,1327_83
D0611065,1447_188
D0611065,1524_137
D0611065,161_148
D0611065,1629_22
D0611065,1982_162
D0611065,2006_105
D0611065,652_178
D0611065,665_156
D0611065,89_123
D061107939,175_74
D061107939,2316_135
D061107939,244_30
D061107939,53_103
D061107939,688_152
D061107939,819_3
D061107939,907_11
D061108332,1910_69
D061108332,213_113
D061108332,2161_124
D061108332,243_58
D061108332,75_51
D061108332,946_0
D0611091,1002_180
D0611091,136_88
D0611091,1786_119
D0611091,525_155
D0611091,952_18
D0611092,1019_116
D0611092,1229_101
D0611092,1579_17
D0611092,1734_91
D0611092,1924_125
D0611092,2171_126
D0611092,529_63
D061109872,1010_37
D061109872,1109_96
D061109872,1143_116
D061109872,136_94
D061109872,1436_171
D061109872,1862_103
D061109872,2251_63
D061109872,30_73
D061109872,493_12
D061109872,595_85
D061109872,70_38
D061109872,719_75
D061109872,980_29
D061110410,1020_14
D061110410,1404_21
D061110410,1566_110
D061110410,1820_142
D061110410,1900_151
D061110410,1985_95
D061110410,2400_89
D061110410,913_116
D061111653,1357_133
D061111653,1386_98
D061111653,1582_35
D061111653,1801_49
D061111653,25_26
D061111653,292_22
D061111653,331_9
D061111813,1738_15
D061111813,2218_31
D061111813,268_19
D061111813,380_79
D061111813,521_142
D061111813,546_132
D061111813,713_185
D0611136,1059_69
D0611136,142_115
D0611136,1752_183
D0611136,193_145
D0611136,2003_63
D0611136,2197_135
D0611136,690_179
D0611136,976_164
D061114210,105_110
D061114210,166_139
D061114210,1812_78
D061114210,1848_4
D061114210,1885_0
D061114210,1885_184
D061114210,2430_137
D061114210,249_166
D061114210,326_36
D061114210,542_101
D061114210,842_80
D061114210,846_27
D061116931,2033_142
D061116931,341_60
D061116931,419_94
D061116931,669_127
D0611176,1026_60
D0611176,1484_160
D0611176,1657_185
D0611176,1925_32
D0611176,279_88
D0611176,355_174
D0611176,559_182
D0611176,703_85
D061117679,1490_120
D061117679,1490_58
D061117679,1520_174
D061117679,2237_117
D061117679,2309_110
D061117679,2348_170
D061117679,454_63
D061117679,479_61
D0611187,1350_164
D0611187,1490_171
D0611187,1811_132
D0611187,1887_118
D0611187,2035_19
D0611187,214_132
D0611187,469_30
D0611187,896_1
D0611215,1319_166
D0611215,1769_149
D0611215,197_32
D0611215,2461_86
D0611215,541_119
D0611215,593_6
D0611215,724_67
D061123069,1531_155
D061123069,2388_169
D061123069,277_61
D061123069,865_52
D0611247,105_46
D0611247,1445_71
D0611247,1845_14
D0611247,1960_52
D0611247,2158_29
D0611247,312_17
D0611247,490_80
D0611247,518_170
D0611247,691_79
D0611247,856_35
D061126138,1037_7
D061126138,1374_106
D061126138,1531_18
D061126138,2379_7
D061126138,2425_96
D061126138,6_56
D061126138,784_172
D061127203,1944_147
D061127203,1994_26
D061127203,422_152
D061127203,571_186
D061127203,861_23
D061127272,116_149
D061127272,1365_158
D061127272,1910_30
D061127272,488_111
D061127272,592_165
D061127272,68_156
