D0553709,750_120
D055371704,1179_55
D055371704,1571_39
D055371704,1581_5
D055371704,1821_171
D055371704,1902_133
D055371704,1991_113
D055371704,712_94
D055371704,842_21
D055371704,928_121
D055371704,985_87
D0553732,104_50
D0553732,1286_91
D0553732,1759_98
D0553732,1963_156
D0553732,26_2
D0553732,479_177
D0553732,523_85
D0553732,584_107
D055373296,1110_165
D055373296,1261_130
D055373296,1467_178
D055373296,1648_21
D055373296,2201_126
D0553741,1217_174
D0553741,1302_131
D0553741,1444_118
D0553741,1711_27
D0553741,2059_16
D0553741,2064_16
D0553741,2384_118
D0553741,842_174
D0553741,87_84
D0553744,1694_105
D0553744,1795_189
D0553744,1924_62
D0553744,2209_86
D0553744,300_4
D0553744,451_168
D0553744,642_2
D0553744,659_13
D0553744,90_121
D0553753,1376_124
D0553753,1422_175
D0553753,1732_66
D0553753,1778_153
D0553753,2291_144
D055377577,1412_19
D055377577,1433_135
D055377577,1647_8
D055377577,166_53
D055377577,193_36
D055377577,2345_58
D055377577,382_32
D055377577,44_162
D055377577,700_53
D055377577,804_105
D055377911,1263_21
D055377911,1885_5
D055377911,2270_171
D055377911,2454_184
D055377911,333_90
D055377911,767_59
D055377911,948_117
D0553805,1149_0
D0553805,1218_101
D0553805,1813_162
D0553805,2008_135
D0553805,2419_159
D0553805,274_31
D0553805,415_30
D0553805,649_45
D055381895,1230_176
D055381895,1529_0
D055381895,2318_107
D055381895,388_142
D055381895,52_141
D0553840,1013_87
D0553840,1251_36
D0553840,1425_189
D0553840,1574_162
D0553840,1720_93
D0553840,1759_61
D0553840,28_103
D0553840,828_68
D0553840,927_1
D055385169,1652_87
D055385169,1890_161
D055385169,1985_118
D055385169,2072_140
D055385169,972_137
D0553858,1275_167
D0553858,1425_141
D0553858,1715_43
D0553858,1813_134
D0553858,2000_58
D0553858,343_65
D0553858,734_173
D0553858,793_137
D0553858,883_94
D0553858,994_103
D055386500,1158_1
D055386500,1932_165
D055386500,2436_85
D055386500,602_28
D0553867,1034_144
D0553867,1201_84
D0553867,2087_77
D0553867,2411_153
D0553867,2427_25
D0553867,2453_110
D0553867,559_164
D0553867,638_83
D0553872,1011_5
D0553872,1021_51
D0553872,1025_105
D0553872,1826_107
D0553872,2085_147
D0553872,2088_52
D0553872,2421_15
D0553872,520_19
D0553872,883_165
D0553875,1245_169
D0553875,1275_34
D0553875,1291_123
D0553875,1972_153
D0553875,300_92
D0553875,720_16
D0553875,82_103
D0553875,871_166
D055388139,2294_109
D055388139,2359_46
D055388139,890_172
D0553885,1676_106
D0553885,455_174
D0553885,639_1
D0553885,886_127
D0553885,88_74
D055389556,1340_91
D055389556,298_19
D055389556,370_39
D055389556,819_55
D055389617,1172_117
D055389617,1347_180
D055389617,1594_130
D055389617,2476_46
D055389617,403_140
D055389617,542_165
D055389617,54_8
D055389617,656_54
D055389617,716_156
D055389617,834_64
D055389617,879_7
D055395182,1071_121
D055395182,1293_94
D055395182,2435_70
D055395182,66_13
D0553953,1753_142
D0553953,1862_94
D0553953,2031_137
D0553953,463_109
D0553953,541_15
D0553953,639_154
D0553953,723_51
D0553956,1532_116
D0553956,1723_47
D0553956,1930_176
D0553956,228_116
D0553956,2393_58
D0553956,343_52
D0553956,464_52
D0553956,627_160
D0553956,915_173
D0553994,1171_4
D0553994,1215_71
D0553994,1308_88
D0553994,1363_144
D0553994,1477_143
D0553994,1520_165
D0553994,2393_183
D0553994,244_42
D0553994,675_162
D055399586,1861_13
D055399586,2038_118
D055399586,2426_14
D055399586,2464_174
D055399586,269_104
D055399586,438_131
D055399586,520_141
D055399586,60_124
D055399586,644_75
D055399586,718_187
D055399920,1062_173
D055399920,1265_151
D055399920,127_145
D055399920,1335_84
D055399920,1640_59
D055399920,1828_84
D055399920,2132_115
D055399920,339_108
D055399920,375_87
D055399920,401_122
D055399920,592_42
D055399920,886_185
D055399975,1220_22
D055399975,1358_69
D055399975,1649_127
D055399975,1865_24
D055399975,2001_171
D055399975,269_44
D055400077,1640_54
D055400077,17_147
D055400077,1856_79
D055400077,2209_29
D055400077,243_185
D055400077,420_138
D055400077,570_17
D055400077,690_73
D055400077,911_167
D0554011,1004_2
D0554011,1143_68
D0554011,1459_176
D0554011,1777_145
D0554011,1812_172
D0554011,1908_160
D0554011,2281_158
D0554011,419_29
D0554011,461_121
D0554011,625_24
D0554011,66_107
D0554011,842_94
D0554011,941_51
D055401197,1384_110
D055401197,1695_126
D055401197,433_181
D055401197,644_42
D055401197,694_133
D055401197,742_42
D0554032,1463_161
D0554032,1492_73
D0554032,153_57
D0554032,1863_140
D0554032,1974_166
D0554032,2186_12
D0554032,447_82
D0554032,633_34
D0554032,801_78
D0554032,991_154
D055403337,1127_164
D055403337,1399_1
D055403337,1791_179
D055403337,1938_51
D055403337,371_119
D055403337,609_82
D055403337,625_175
D055403337,695_156
D055405249,1574_105
D055405249,1678_39
D055405249,212_94
D055405249,2275_87
D055405249,2369_34
D055405249,23_9
D055405249,2405_63
D055405249,423_24
D055405249,509_149
D055405249,840_166
D055405249,875_6
D055405249,96_26
D0554079,1018_5
D0554079,1037_110
D0554079,1383_104
D0554079,140_106
D0554079,2020_166
D0554079,21_183
D0554079,388_14
D0554079,916_8
D0554128,1118_101
D0554128,1785_64
D0554128,2174_71
D0554128,508_154
D0554128,92_74
D0554129,1249_54
D0554129,1455_70
D0554129,1484_180
D0554129,1982_135
D0554129,2359_35
D0554129,589_141
D0554129,655_103
D0554129,780_44
D0554129,836_40
D0554130,1508_109
D0554130,1542_126
D0554130,1585_174
D0554130,1923_138
D0554130,2011_6
D0554130,598_105
D0554130,850_52
D0554130,859_11
D0554185,1745_66
D0554185,1774_51
D0554185,2012_154
D0554185,2035_69
D0554185,321_139
D0554185,708_181
D0554185,871_104
D0554185,899_156
D0554193,1045_96
D0554193,1075_103
D0554193,1129_125
D0554193,1205_152
D0554193,1805_150
D0554193,1861_130
D0554193,365_55
D0554193,732_81
D0554193,759_110
D0554193,904_72
D0554205,1055_186
D0554205,1678_74
D0554205,1835_111
D0554205,184_86
D0554205,1913_12
D0554205,2218_11
D0554205,2346_157
D0554208,127_22
D0554208,1284_33
D0554208,1340_49
D0554208,143_172
D0554208,1708_33
D0554208,1769_163
D0554208,2032_38
D0554208,2111_130
D0554208,222_106
D0554208,2361_4
D0554208,575_12
D0554208,792_168
D0554208,909_84
D0554225,1003_163
D0554225,1605_62
D0554225,1719_189
D0554225,1954_71
D0554225,2035_122
D0554225,2408_144
D0554225,355_50
D055422963,1315_171
D055422963,1349_135
D055422963,1499_34
