D033928340,753_40
D033928401,1320_115
D033928401,1407_158
D033928401,1588_58
D033928401,2072_83
D033928401,2218_96
D033928401,288_91
D033928401,360_66
D033928401,503_116
D033928401,810_21
D033928692,1090_61
D033928692,2164_143
D033928692,227_56
D033928692,2475_171
D033928692,605_184
D033928692,962_59
D033929309,1639_22
D033929309,2196_155
D033929309,2297_138
D033929309,2440_128
D033929309,331_0
D033929309,770_153
D033929545,1021_70
D033929545,1049_182
D033929545,1072_187
D033929545,1139_139
D033929545,1180_162
D033929545,1553_174
D033929545,206_3
D033929545,2305_126
D033929545,2464_109
D033929545,26_77
D033929545,471_13
D033929545,778_9
D033930534,1021_117
D033930534,1482_47
D033930534,157_131
D033930534,2174_58
D033930534,636_54
D033931074,1174_162
D033931074,127_96
D033931074,1387_16
D033931074,1451_180
D033931074,1685_168
D033931074,2029_104
D033931074,2090_113
D033931074,420_114
D033931074,904_36
D033933764,1620_2
D033933764,1842_63
D033933764,2049_87
D033933764,2272_98
D033933764,773_95
D033933764,851_113
D033933764,968_62
D033940427,1057_45
D033940427,1332_159
D033940427,1354_89
D033940427,1403_153
D033940427,1427_77
D033940427,1446_142
D033940427,1460_49
D033940427,2006_15
D033940427,222_157
D033940427,345_156
D033940427,477_135
D033943985,1329_74
D033943985,1334_90
D033943985,2081_32
D033943985,2275_96
D033943985,269_106
D033943985,304_95
D033943985,521_58
D033944555,1653_112
D033944555,2049_76
D033944555,235_143
D033944555,541_81
D033944555,693_140
D033947792,1121_0
D033947792,1387_105
D033947792,1836_122
D033947792,1849_6
D033947792,268_98
D033949475,1597_131
D033949475,387_111
D033949475,691_89
D033955896,1557_64
D033955896,1580_56
D033955896,1914_98
D033955896,2142_101
D033955896,271_159
D033955896,277_161
D033955896,510_35
D033955896,523_180
D033955896,554_136
D033955896,80_13
D033955896,922_114
D033968919,1485_9
D033968919,1730_15
D033968919,1832_82
D033968919,1840_88
D033968919,2405_74
D033968919,397_152
D033968919,722_18
D033969008,1088_91
D033969008,1605_73
D033969008,2157_32
D033969008,2236_65
D033969008,2355_62
D033969008,2453_107
D033969008,284_171
D033969008,34_38
D033969008,371_180
D033969008,376_49
D033969008,459_90
D033969008,789_5
D033969008,974_7
D033969176,209_7
D033969176,2121_162
D033969176,2376_108
D033969176,2441_64
D033969176,269_173
D033977164,10_133
D033977164,1272_159
D033977164,175_54
D033977164,535_106
D033977997,1181_156
D033977997,1202_154
D033977997,1344_24
D033977997,173_185
D033977997,1828_11
D033977997,1990_47
D033977997,2003_36
D033977997,2087_110
D033977997,53_36
D033977997,568_60
D033977997,619_162
D033977997,785_123
D033980553,1027_166
D033980553,1062_177
D033980553,1138_178
D033980553,1385_28
D033980553,1743_129
D033980553,1746_10
D033980553,1970_24
D033980553,2262_182
D033980553,32_81
D033980553,444_111
D033980553,651_83
D033980553,992_92
D033980751,2182_181
D033980751,246_107
D033980751,441_167
D033980751,791_6
D033980751,810_79
D033982212,1137_162
D033982212,1448_95
D033982212,1716_20
D033982212,1815_90
D033982212,1848_184
D033982212,2003_75
D033982212,2149_68
D033982212,2279_110
D033982212,2322_113
D033983325,1097_89
D033983325,1315_55
D033983325,1406_177
D033983325,1628_84
D033983325,1657_66
D033983325,2094_80
D033983325,41_183
D033984629,1102_144
D033984629,1287_182
D033984629,2321_155
D033984629,2416_95
D033984629,491_125
D033984629,725_57
D033984629,869_39
D033987736,1021_134
D033987736,1838_50
D033987736,1852_7
D033987736,413_50
D033987736,494_43
D033987736,651_122
D033990231,1998_132
D033990231,225_53
D033990231,837_159
D033992365,1167_21
D033992365,1612_98
D033992365,179_28
D033992365,2080_176
D033992365,2209_90
D033992365,2291_23
D033992365,2307_92
D033992365,2314_72
D033992365,308_188
D033998589,1130_136
D033998589,1493_170
D033998589,1714_175
D033998589,43_135
D033998589,529_66
D033998589,747_133
D033998589,752_94
D034000137,1055_32
D034000137,11_154
D034000137,1321_113
D034000137,1857_134
D034000137,232_8
D034000137,2435_152
D034000137,961_138
D034000755,1011_89
D034000755,1074_86
D034000755,1141_97
D034000755,1272_153
D034000755,1337_131
D034000755,1633_160
D034000755,1936_138
D034000755,2211_83
D034000755,2348_44
D034000755,2473_123
D034000755,448_152
D034000755,805_37
D034001233,1333_8
D034001233,1770_58
D034001233,1914_31
D034001233,1957_85
D034001233,2186_114
D034001233,332_110
D034001233,355_134
D034001233,502_166
D034001233,61_37
D034001233,707_10
D034001233,970_100
D034002469,1706_173
D034002469,1878_104
D034002469,456_170
D034002469,76_52
D034002469,842_22
D034003145,112_5
D034003145,1191_132
D034003145,1537_165
D034003145,1801_2
D034003145,1925_171
D034003145,2178_26
D034003589,1161_20
D034003589,1302_49
D034003589,1750_36
D034003589,2164_136
D034003589,2339_168
D034003589,471_47
D034006771,1163_170
D034006771,1438_169
D034006771,1773_98
D034007570,1265_140
D034007570,133_94
D034007570,33_105
D034007570,36_106
D034008300,1251_59
D034008300,2382_17
D034008300,2413_59
D034008300,37_57
D034008300,667_166
D034011607,1267_130
D034011607,1687_87
D034011607,2223_64
D034011607,590_112
D034011607,957_108
D034011607,976_125
D034011669,1059_63
D034011669,1220_121
D034011669,131_145
D034011669,1473_39
D034011669,1754_36
D034011669,1867_81
D034011669,1981_53
D034011669,1997_171
D034011669,2092_85
D034011669,400_61
D034011669,520_147
D034011669,901_130
D034011669,934_78
D034016749,1347_65
D034016749,2152_55
D034016749,2293_113
D034016749,915_150
D034019092,1095_49
D034019092,1794_144
D034019092,2199_143
D034019092,5_66
D034019092,665_46
D034019092,848_147
D034021484,1129_15
D034021484,1462_155
D034021484,1542_121
D034021484,1739_32
D034021484,1875_58
D034021484,2219_45
D034021484,513_164
D034023747,1111_18
D034023747,1149_175
D034023747,1183_35
D034023747,1382_177
D034023747,1773_50
D034023747,182_15
D034023747,2234_94
D034023747,243_166
D034027806,1408_131
D034027806,1702_131
D034027806,1897_34
D034027806,759_99
D034027806,926_177
D034029862,1007_139
D034029862,1018_169
D034029862,1243_83
D034029862,2059_58
D034029862,29_68
D034029862,729_120
D034029862,809_27
D034029862,842_15
D034031650,1398_146
D034031650,2245_26
D034031650,2_83
D034031650,343_116
D034031650,345_78
D034031650,59_111
D034031650,842_151
D034033869,1135_47
D034033869,1245_78
D034033869,2028_142
