D0644080,930_46
D064408880,1217_30
D064408880,1539_155
D064408880,160_34
D064408880,1679_156
D064408880,1748_107
D064408880,1821_46
D064408880,1998_54
D064408880,2354_85
D064408880,236_150
D064408880,585_67
D064408880,809_82
D0644101,1618_65
D0644101,1626_1
D0644101,1835_150
D0644101,28_56
D0644101,292_6
D0644101,521_176
D0644101,693_93
D0644101,733_109
D0644138,1447_82
D0644138,1689_124
D0644138,191_26
D0644138,2032_145
D0644138,2098_36
D0644138,2106_85
D0644138,2141_130
D0644138,573_134
D0644138,660_154
D0644151,1171_88
D0644151,1709_42
D0644151,1902_31
D0644151,315_24
D0644151,847_63
D0644151,854_93
D0644151,987_125
D0644153,103_15
D0644153,1043_179
D0644153,1334_73
D0644153,1622_161
D0644153,1755_162
D0644153,1774_167
D0644153,1795_114
D0644153,2369_81
D0644153,2446_36
D0644153,905_32
D064416199,113_92
D064416199,1763_22
D064416199,2304_149
D064416199,290_143
D0644168,1015_109
D0644168,1287_56
D0644168,1833_69
D0644168,1896_147
D0644168,2361_167
D0644168,381_30
D0644168,512_180
D0644168,569_0
D0644168,588_175
D0644168,650_190
D0644168,815_101
D064417349,1105_126
D064417349,1160_80
D064417349,1571_117
D064417349,2016_160
D064417349,2070_24
D064417561,1079_130
D064417561,1107_24
D064417561,1160_73
D064417561,1168_92
D064417561,1175_128
D064417561,1372_97
D064417561,1886_63
D064417561,2160_165
D064417561,546_28
D064417561,832_117
D064417561,971_117
D0644195,1069_118
D0644195,1282_164
D0644195,1609_30
D0644195,1640_184
D0644195,1713_58
D0644195,1780_66
D0644195,2040_158
D0644195,2470_140
D0644195,275_36
D0644195,395_103
D0644195,483_146
D064419510,1272_178
D064419510,1373_114
D064419510,1765_84
D064419510,2413_154
D064419510,411_22
D064419510,451_128
D064419510,459_9
D064419510,483_72
D064419510,864_50
D0644203,108_167
D0644203,1552_86
D0644203,1836_115
D0644203,2020_117
D0644203,753_179
D064420325,1223_110
D064420325,168_145
D064420325,741_84
D064420325,796_116
D064420363,1387_40
D064420363,743_21
D064420363,809_33
D064420363,820_63
D064420653,1312_128
D064420653,1320_81
D064420653,1470_169
D064420653,1683_119
D064420653,1788_36
D064420653,1837_68
D064420653,199_138
D064420653,234_101
D064420653,237_15
D064420653,2384_20
D064420653,253_5
D0644215,1375_142
D0644215,1550_103
D0644215,1666_108
D0644215,2162_134
D0644215,2217_175
D0644215,234_93
D0644215,331_74
D0644215,36_187
D0644215,862_32
D0644218,1126_30
D0644218,1490_51
D0644218,182_166
D0644218,1997_168
D0644218,2070_126
D0644218,2175_83
D0644218,335_106
D0644218,569_2
D0644218,67_100
D0644219,1042_102
D0644219,1086_57
D0644219,1869_60
D0644219,2087_66
D0644219,278_46
D0644219,55_181
D0644219,616_64
D0644219,639_59
D0644219,955_123
D0644246,1024_30
D0644246,1114_161
D0644246,1128_190
D0644246,1381_170
D0644246,212_73
D0644246,217_114
D0644246,681_105
D0644246,746_139
D0644246,948_161
D0644249,1662_116
D0644249,198_35
D0644249,2138_104
D0644249,2237_125
D0644249,946_131
D0644269,1101_76
D0644269,1198_3
D0644269,1219_188
D0644269,1386_183
D0644269,1853_29
D0644269,212_53
D0644269,2217_187
D0644269,34_35
D0644269,785_3
D0644269,867_74
D0644278,1067_28
D0644278,1193_160
D0644278,1289_15
D0644278,1393_98
D0644278,1586_13
D0644278,1925_5
D0644278,2044_21
D0644278,231_110
D0644278,2367_187
D0644278,251_121
D064428420,1109_26
D064428420,1344_87
D064428420,1818_107
D064428420,1987_45
D064428420,2181_152
D064428420,2311_145
D064428420,263_10
D064428420,274_94
D064428420,300_71
D064428420,411_18
D064428420,576_51
D064428420,821_127
D064431390,1765_183
D064431390,1878_20
D064431390,778_186
D064432540,1365_69
D064432540,1929_110
D064432540,1974_71
D064432540,2032_89
D064432540,2237_162
D064432540,792_81
D064434858,1318_163
D064434858,1625_175
D064434858,1756_86
D064434858,1903_39
D064434858,19_56
D064434858,493_16
D0644349,1045_175
D0644349,108_157
D0644349,1409_86
D0644349,1589_113
D0644349,1714_144
D0644349,1749_128
D0644349,1880_72
D0644349,2458_170
D0644349,447_43
D064435602,1176_0
D064435602,1365_5
D064435602,1389_160
D064435602,1492_167
D064435602,1537_164
D064435602,1612_15
D064435602,1638_9
D064435602,2003_142
D064435602,337_81
D064435602,34_85
D064435602,952_103
D064435787,1109_63
D064435787,121_11
D064435787,1444_169
D064435787,14_12
D064435787,1864_152
D064435787,2171_37
D064435787,2235_8
D064435787,306_156
D064435787,593_131
D0644395,1527_91
D0644395,168_94
D0644395,1779_51
D0644395,1919_176
D0644395,1990_92
D0644395,2033_67
D0644395,2135_117
D0644395,400_2
D0644395,989_41
D064440637,1014_135
D064440637,1346_173
D064440637,1580_31
D064440637,1821_125
D064440637,2004_177
D064440637,2113_148
D064440637,220_139
D064440637,470_115
D064440637,739_161
D064440637,98_64
D064442761,1034_150
D064442761,1067_30
D064442761,1582_110
D064442761,1806_66
D064442761,1834_69
D064442761,1966_176
D064442761,2239_175
D064442761,2271_25
D064442761,289_12
D064442761,667_98
D064442761,693_39
D0644431,1648_24
D0644431,1663_90
D0644431,184_70
D0644431,1902_40
D0644431,287_77
D0644431,510_92
D0644431,682_100
D064444697,1867_92
D064444697,1893_79
D064444697,2105_63
D064444697,2119_125
D064444697,373_94
D0644475,1649_24
D0644475,2071_60
D0644475,365_170
D0644475,367_38
D0644475,468_173
D0644475,674_179
D0644475,702_62
D0644475,818_133
D064448008,1007_49
D064448008,1667_96
D064448008,2192_102
D064448008,2370_184
D064448008,30_50
D064448008,317_119
D064448008,398_17
D064448008,652_137
D0644489,1291_96
D0644489,1417_146
D0644489,1518_10
D0644489,1750_18
D0644489,1761_130
D0644489,2013_164
D0644489,290_40
D0644489,492_34
D0644489,596_88
D0644489,73_151
D0644492,1009_129
D0644492,1813_52
D0644492,182_136
D0644492,1995_101
D0644492,328_166
D0644492,469_86
D0644492,873_50
D0644492,925_149
D064450155,1047_26
D064450155,1184_145
D064450155,187_98
D064450155,2155_14
D064450155,2202_174
D064450155,228_24
D064450155,445_90
D064450155,663_172
D064450155,802_23
D0644504,1004_122
D0644504,1144_32
D0644504,1802_104
D0644504,1856_139
D0644504,1972_45
D0644504,2237_169
D0644504,776_8
D0644504,835_75
D0644504,934_66
D064451015,1978_87
D064451015,2176_41
D064451015,2309_0
D064451015,406_135
D064452562,1419_26
D064452562,1506_164
D064452562,2161_142
D064452562,2256_22
D064452562,2456_139
D0644529,1299_67
D0644529,1399_9
