D000315548,695_129
D000316224,1238_26
D000316224,1246_26
D000316224,1400_14
D000316224,1612_154
D000316224,2214_80
D000316224,2427_163
D000316224,432_180
D000316224,491_130
D000316224,588_104
D000316224,916_103
D000321686,1753_175
D000321686,1843_77
D000321686,2256_172
D000321686,2453_3
D000324168,104_31
D000324168,1360_129
D000324168,1605_42
D000324168,1693_21
D000324168,1700_9
D000324168,174_1
D000324168,1819_24
D000324168,2121_106
D000324168,2467_156
D000324168,272_75
D000327978,1253_127
D000327978,1721_139
D000327978,1788_19
D000327978,292_9
D000327978,66_121
D000327978,813_89
D000327978,965_88
D000330046,1194_162
D000330046,2398_166
D000330046,2450_10
D000330312,1090_27
D000330312,1786_181
D000330312,33_135
D000330312,351_28
D000330312,545_100
D000330312,673_1
D000331517,1044_82
D000331517,1436_87
D000331517,1641_179
D000331517,2371_81
D000331517,540_186
D000338349,2122_112
D000338349,2339_41
D000338349,28_60
D000338349,739_9
D000339469,1021_17
D000339469,285_188
D000339469,341_119
D000339469,369_182
D000339469,570_94
D000341516,1310_139
D000341516,1478_136
D000341516,1810_130
D000341516,1957_80
D000341516,1998_15
D000341516,2299_149
D000341516,512_43
D000341516,670_69
D000341516,825_23
D000343381,1332_33
D000343381,1678_148
D000343381,399_55
D000343381,63_18
D000343381,708_153
D000343381,766_49
D000343381,913_88
D000343589,106_10
D000343589,1083_94
D000343589,1294_90
D000343589,1411_47
D000343589,1792_89
D000343589,21_164
D000343589,2234_40
D000343589,2277_153
D000343589,2288_32
D000343589,244_38
D000343589,309_141
D000343589,467_170
D000345613,1099_51
D000345613,1346_64
D000345613,149_102
D000345613,1700_69
D000345613,2112_40
D000345613,2322_112
D000345613,671_96
D000353663,1045_20
D000353663,104_47
D000353663,1079_155
D000353663,1147_145
D000353663,1178_102
D000353663,1215_14
D000353663,1557_127
D000353663,1892_34
D000353663,391_137
D000353663,531_75
D000353663,724_166
D000353663,809_30
D000353663,850_60
D000354035,135_178
D000354035,1381_59
D000354035,1709_121
D000354035,1882_25
D000354035,1883_9
D000354035,192_101
D000354035,1_71
D000354035,2264_125
D000354035,2442_138
D000354035,556_143
D000355179,1245_12
D000355179,1589_38
D000355179,194_69
D000355179,2393_111
D000355681,1299_68
D000355681,1676_67
D000355681,1849_91
D000355681,2179_129
D000355681,2307_7
D000355681,2404_97
D000355681,334_13
D000355681,426_76
D000356237,1064_61
D000356237,1351_98
D000356237,2196_159
D000356237,2287_128
D000356237,2352_109
D000356237,286_13
D000356237,300_50
D000356237,707_53
D000356350,1586_95
D000356350,2001_58
D000356350,2058_115
D000356350,282_153
D000356350,283_141
D000356350,398_132
D000356350,465_66
D000356350,866_9
D000356350,876_150
D000356756,114_60
D000356756,11_110
D000356756,1225_0
D000356756,1290_37
D000356756,1575_44
D000356756,1626_36
D000356756,1995_137
D000356756,269_147
D000356756,779_81
D000356756,869_101
D000356756,885_147
D000359375,1352_42
D000359375,1710_140
D000359375,233_83
D000359375,470_84
D000359375,794_72
