D039262301,502_49
D039262479,1081_78
D039262479,1785_0
D039262479,2088_158
D039262479,2426_66
D039262479,393_20
D039262479,869_41
D039264572,1006_64
D039264572,1557_1
D039264572,36_91
D039266859,1118_69
D039266859,1272_44
D039266859,1755_133
D039266859,1877_109
D039266859,1994_133
D039266859,2048_179
D039268853,1428_104
D039268853,1537_124
D039268853,2028_115
D039268853,228_160
D039268853,41_83
D039269904,1305_44
D039269904,1759_117
D039269904,36_83
D039269904,556_4
D039269904,55_42
D039269904,6_183
D039269904,736_151
D039270047,1467_117
D039270047,1594_16
D039270047,2297_43
D039270047,2431_174
D039270047,914_38
D039277183,111_140
D039277183,1695_99
D039277183,1810_181
D039277183,1926_67
D039277183,2084_180
D039277183,2436_61
D039277183,52_81
D039280039,2395_18
D039280039,2452_78
D039280039,247_85
D039280039,265_149
D039282408,131_139
D039282408,249_27
D039282408,417_187
D039283207,1018_165
D039283207,1482_159
D039283207,1614_125
D039283207,1771_135
D039283207,2008_174
D039283207,2094_78
D039283207,2155_35
D039283207,507_67
D039283207,78_113
D039291530,1022_121
D039291530,2175_74
D039291530,2210_15
D039291530,554_82
D039291530,84_46
D039294784,1068_135
D039294784,1369_160
D039294784,2303_34
D039294784,2358_110
D039294890,1212_161
D039294890,1243_7
D039294890,1814_146
D039294890,2187_129
D039294890,35_5
D039294890,46_4
D039294890,803_42
D039295934,1754_23
D039295934,1769_166
D039295934,1989_172
D039295934,2143_180
D039295934,2151_183
D039295934,2268_46
D039295934,2315_57
D039295934,424_74
D039295934,658_143
D039295934,739_8
D039295934,811_31
D039295934,889_101
D039297129,1079_43
D039297129,1259_155
D039297129,241_0
D039297129,950_42
D039298607,1122_159
D039298607,1612_157
D039298607,351_122
D039298607,475_56
D039298607,595_23
D039301321,1079_30
D039301321,1635_56
D039301321,179_120
D039301321,2421_121
D039301321,686_120
D039301321,79_48
D039301567,1301_173
D039301567,1926_157
D039301567,2186_159
D039301567,2411_44
D039301567,241_78
D039301567,247_164
D039301567,373_125
D039301567,51_174
D039301567,661_30
D039303745,1053_15
D039303745,1200_93
D039303745,134_15
D039303745,1832_186
D039303745,1886_44
D039303745,2021_13
D039303745,2275_58
D039303745,2326_162
D039303745,316_43
D039303745,600_161
D039303745,682_137
D039303745,70_74
D039303745,80_117
D039305923,1008_146
D039305923,1058_116
D039305923,1145_100
D039305923,1198_57
D039305923,1900_19
D039305923,2086_91
D039305923,2190_53
D039305923,24_14
D039305923,484_151
D039305923,648_137
D039305923,753_32
D039305923,898_111
D039305923,958_128
D039307149,1142_50
D039307149,1210_169
D039307149,1991_146
D039307149,790_76
D039307149,806_142
D039311368,114_83
D039311368,1323_147
D039311368,1891_62
D039311368,1968_39
D039311368,2042_130
D039311368,25_137
D039311368,576_39
D039311368,991_107
D039313980,1676_104
D039313980,1715_87
D039313980,441_115
D039313980,628_4
D039313980,84_100
D039315816,1206_68
D039315816,1949_167
D039315816,2065_91
D039315816,2225_173
D039315816,46_106
D039315816,684_58
D039318152,1318_96
D039318152,1479_94
D039318152,1519_106
D039318893,1844_21
D039318893,1958_114
D039318893,215_1
D039318893,310_173
D039318893,843_137
D039322005,1015_79
D039322005,137_34
D039322005,1767_90
D039322005,1941_116
D039322005,2025_3
D039322005,2250_123
D039322005,2281_163
D039322005,374_63
D039322005,737_160
D039322005,796_102
D039326843,16_83
D039326843,1783_0
D039326843,1972_106
D039326843,2137_189
D039326843,348_139
D039327888,134_77
D039327888,162_180
D039327888,1769_29
D039327888,1982_102
D039327888,2008_17
D039327888,2167_133
D039327888,2371_163
D039327888,482_4
D039327888,557_60
D039328250,1039_150
D039328250,2140_162
D039328250,419_43
D039328250,920_7
D039328250,961_28
D039340139,1280_112
D039340139,1355_145
D039340139,1845_55
D039340139,184_111
D039340139,2302_53
D039340139,444_6
D039340139,736_53
D039343772,1264_61
D039343772,2052_20
D039343772,2075_53
D039343772,2304_46
D039343772,2391_165
D039343772,243_20
D039345103,1121_98
D039345103,1191_19
D039345103,2014_123
D039345103,2432_168
D039345103,2476_27
D039345103,3_89
D039345103,565_62
D039345103,584_175
D039345103,589_1
D039345103,708_183
D039345103,903_133
D039345103,980_136
D039345295,1408_77
D039345295,1629_133
D039345295,1760_44
D039345295,2004_148
D039345295,2043_178
D039345295,433_87
D039345295,62_47
D039347466,1230_143
D039347466,1683_79
D039347466,1868_165
D039347466,2268_5
D039347466,2349_74
D039347466,513_159
D039347596,1026_30
D039347596,1075_177
D039347596,1423_101
D039347596,1756_51
D039347596,2141_24
D039347596,233_119
D039347596,287_113
D039347596,698_112
D039347596,868_99
D039348012,1209_126
D039348012,1409_85
D039348012,1679_94
D039348012,1930_41
D039348012,565_153
D039351517,1200_19
D039351517,1642_124
D039351517,1906_53
D039351517,2024_150
D039351517,2330_93
D039351517,56_146
D039357830,1095_61
D039357830,1178_92
D039357830,1224_6
D039357830,1656_23
D039357830,1961_37
D039357830,2197_3
D039357830,2280_22
D039357830,340_60
D039357830,362_168
D039357830,841_182
D039357830,98_126
D039358134,1089_121
D039358134,1127_172
D039358134,1281_23
D039358134,1346_130
D039358134,1483_22
D039358134,152_114
D039358134,1983_0
D039358134,2063_72
D039358134,2212_77
D039358134,2265_172
D039358134,437_54
D039358134,468_18
D039358134,763_151
D039358325,143_169
D039358325,1959_146
D039358325,1962_29
D039358325,342_158
D039358325,373_102
D039358325,519_45
D039358325,589_68
D039358325,801_157
D039358325,80_118
D039361042,1172_147
D039361042,1617_49
D039361042,1963_54
D039361042,2129_11
D039361042,2163_182
D039361042,249_115
D039361042,396_97
D039361042,3_109
D039361042,666_169
D039361042,837_134
D039361042,83_48
D039361042,897_80
D039363626,1377_34
D039363626,1667_129
D039363626,1851_72
D039363626,2113_179
D039363626,254_60
D039363626,444_158
D039363626,604_22
D039363626,892_49
D039369147,1534_147
D039369147,1651_47
D039369147,375_136
D039369147,716_113
D039375889,1445_34
D039375889,1973_4
D039375889,2056_43
D039375889,2306_150
D039375889,264_81
D039376718,156_156
D039376718,1583_141
D039376718,2468_106
D039376718,607_119
D039376992,2023_8
D039376992,2113_118
D039376992,386_86
D039376992,745_107
D039378712,1223_175
D039378712,1280_6
D039378712,1785_58
D039378712,1836_148
D039378712,2102_57
D039378712,2176_137
